objectID,objectType,playerID,handedness,gender,ethnicity,race,allModelsBrent,allModelsGabe,allModelsMegan,allModelsMelody
6987,shield,680,1,2,2,5,0,0,0,0
6986,bull,680,1,2,2,5,0,0,1,0
6985,ox,680,1,2,2,5,0,0,1,0
6984,clam,680,1,2,2,5,0,0,-1,0
6983,rabbit,680,1,2,2,5,0,0,1,0
6982,mittens,680,1,2,2,5,0,0,0,0
6981,eggplant,680,1,2,2,5,0,0,0,0
6980,table,680,1,2,2,5,0,0,0,0
6979,tractor,680,1,2,2,5,0,0,1,0
6978,cannon,680,1,2,2,5,0,0,1,0
6976,clam,678,1,1,2,5,0,0,0,0
6975,cabinet,677,1,2,2,5,0,0,0,0
6974,tortoise,677,1,2,2,5,0,0,0,0
6973,boat,677,1,2,2,5,0,0,0,0
6972,dishwasher,677,1,2,2,5,0,0,0,0
6971,nylons,677,1,2,2,5,0,0,0,0
6970,projector,677,1,2,2,5,0,0,1,0
6969,lettuce,677,1,2,2,5,0,0,0,0
6968,leotards,677,1,2,2,5,0,0,0,0
6967,ladle,677,1,2,2,5,0,0,-1,0
6966,partridge,677,1,2,2,5,0,0,0,0
6965,plate,677,1,2,2,5,0,0,0,0
6964,dagger,677,1,2,2,5,0,0,0,0
6963,dress,677,1,2,2,5,0,0,0,0
6962,airplane,677,1,2,2,5,0,0,0,0
6961,cottage,677,1,2,2,5,0,0,0,0
6960,owl,677,1,2,2,5,0,0,0,0
6959,tomahawk,677,1,2,2,5,0,0,1,0
6958,vulture,677,1,2,2,5,0,0,0,0
6957,taxi,677,1,2,2,5,0,0,1,0
6956,cushion,677,1,2,2,5,0,0,0,0
6955,turkey,677,1,2,2,5,0,0,-1,0
6954,clock,676,1,2,2,5,0,0,1,0
6953,cello,676,1,2,2,5,0,0,0,0
6951,bus,673,1,1,2,5,0,0,1,0
6950,blackbird,673,1,1,2,5,0,0,0,0
6949,curtains,673,1,1,2,5,0,0,0,0
6948,bottle,673,1,1,2,5,0,0,0,0
6947,cushion,673,1,1,2,5,0,0,1,0
6946,rock,673,1,1,2,5,0,0,0,0
6945,iguana,673,1,1,2,5,0,0,0,0
6944,bridge,673,1,1,2,5,0,0,0,0
6943,zebra,673,1,1,2,5,0,0,0,0
6942,prune,673,1,1,2,5,0,0,0,0
6941,pepper,673,1,1,2,5,0,0,-1,0
6940,garage,673,1,1,2,5,0,0,0,0
6939,mittens,673,1,1,2,5,0,0,-1,0
6938,porcupine,673,1,1,2,5,0,0,-1,0
